instance;Gurobi;GA0;GA3;GA4;LocalSolverNative0;LocalSolverNative3;LocalSolverNative4
j3047_1;35.5;35.5;35.5;35.5;35.5;35.5;35.5
j3047_10;65.079582;65.079582;65.079582;65.079582;65.079582;65.079582;65.079582
j3047_2;54;54;54;54;54;54;54
j3047_3;67;67;67;67;67;67;67
j3047_4;68.5;68.5;68.5;68.5;68.5;68.5;68.5
j3047_5;38.333332;38.333332;38.333332;38.333332;38.333332;38.333332;38.333332
j3047_6;53.628807;53.628807;53.628807;53.628807;53.628807;53.628807;53.628807
j3047_7;48.320988;48.320988;48.320988;48.320988;48.320988;48.320988;48.320988
j3047_8;61;61;61;61;61;61;61
j3047_9;75;75;75;75;75;75;75
j305_1;129.293655;129.293655;129.293655;129.293655;129.293655;129.293655;129.293655
j305_10;94.940002;95.440002;95.875;95.940002;95.940002;95.940002;95.940002
j305_2;8.004756;135.230087;134.230087;135.230087;135.230087;135.230087;134.954819
j305_3;153.216217;166.459457;166.459457;166.459457;166.959457;166.959457;166.959457
j305_4;149.303848;183.303848;183.303848;187.303848;189.111115;189.111115;187.303848
j305_5;134.023666;140.621628;140.621628;140.621628;140.621628;140.621628;140.621628
j305_6;157.357986;171.239639;171.239639;170.357986;171.739639;171.739639;171.739639
j305_7;195.887756;205.933517;202.412628;206.433517;205.293365;205.933517;206.433517
j305_8;137.827972;148.327972;147.862946;147.862946;147.918716;149.418716;149.418716
j305_9;126.740479;126.740479;125.240479;126.740479;126.740479;126.740479;126.740479
j306_1;79.095001;81.095001;80.879997;81.095001;81.095001;81.095001;81.095001
j306_10;94.858223;94.858223;94.858223;94.858223;94.858223;94.858223;94.858223
j306_2;84.622223;84.622223;84.122223;84.622223;84.622223;84.622223;84.622223
j306_3;86.5625;86.5625;86.5625;86.5625;86.5625;86.5625;86.5625
j306_4;84.160492;84.160492;84.160492;84.160492;84.160492;84.160492;84.160492
j306_5;83.42244;83.42244;83.42244;83.42244;83.42244;83.42244;83.42244
